ice,apple,tuna,pollack,banana,pineapple,strawberry
-1,11,-9,-21,20,-16,11
1,11,-9,-19,19,-14,11
0,9,-10,-19,19,-16,9
0,9,-9,-20,19,-16,9
-1,11,-10,-19,20,-15,11
-1,9,-11,-20,20,-15,9
-1,11,-9,-20,19,-14,11
-1,11,-11,-21,19,-16,11
-1,10,-10,-19,21,-16,10
-1,10,-9,-20,19,-15,10
1,9,-9,-20,19,-16,9
-1,11,-10,-21,20,-14,11
1,9,-11,-21,20,-16,9
1,9,-10,-19,20,-15,9
-1,9,-9,-20,20,-15,9
-1,10,-10,-19,19,-14,10
1,9,-11,-19,21,-16,9
-1,10,-10,-21,19,-16,10
1,11,-9,-19,20,-16,11
-1,10,-11,-19,21,-16,10
0,10,-9,-21,21,-14,10
-1,9,-9,-21,21,-16,9
0,11,-10,-20,20,-14,11
1,11,-9,-20,19,-16,11
-1,10,-9,-20,21,-16,10
1,10,-9,-19,19,-16,10
1,9,-10,-20,21,-14,9
0,11,-11,-20,21,-16,11
-1,10,-10,-19,20,-14,10
0,11,-11,-19,19,-14,11
0,10,-10,-20,21,-16,10
-1,11,-9,-20,20,-14,11
0,9,-10,-21,19,-14,9
1,11,-10,-21,20,-14,11
1,9,-11,-19,19,-15,9
0,10,-9,-20,21,-16,10
-1,11,-10,-19,20,-16,11
0,11,-9,-19,21,-16,11
0,9,-10,-20,21,-16,9
-1,10,-11,-20,20,-16,10
1,11,-11,-20,21,-14,11
1,11,-11,-20,20,-14,11
-1,11,-10,-20,20,-16,11
-1,11,-10,-21,21,-15,11
0,11,-11,-21,20,-15,11
-1,10,-9,-20,19,-14,10
1,11,-11,-20,19,-15,11
0,10,-10,-19,19,-14,10
-1,9,-10,-20,19,-16,9
-1,10,-11,-21,19,-15,10
-1,11,-9,-21,20,-14,11
-1,10,-10,-19,21,-16,10
1,10,-9,-19,19,-16,10
-1,9,-9,-21,19,-15,9
-1,10,-10,-21,21,-14,10
1,10,-10,-20,20,-14,10
0,11,-11,-21,19,-15,11
0,11,-9,-19,21,-16,11
-1,9,-10,-20,20,-15,9
1,9,-10,-21,21,-14,9
0,11,-11,-19,19,-16,11
1,9,-10,-19,20,-16,9
0,9,-9,-20,21,-15,9
1,10,-11,-21,19,-14,10
0,11,-11,-20,20,-14,11
0,11,-9,-21,20,-15,11
1,11,-9,-21,21,-14,11
1,9,-9,-20,21,-14,9
-1,9,-11,-19,21,-15,9
1,9,-10,-21,19,-14,9
0,9,-11,-19,19,-14,9
1,11,-11,-19,20,-16,11
1,9,-10,-21,20,-15,9
0,11,-11,-21,21,-14,11
-1,9,-9,-21,19,-14,9
0,10,-10,-19,20,-14,10
1,9,-9,-21,21,-16,9
1,9,-9,-21,19,-15,9
-1,10,-10,-21,19,-15,10
1,11,-9,-21,21,-15,11
0,9,-10,-20,20,-16,9
-1,11,-11,-19,21,-15,11
1,11,-9,-20,21,-16,11
1,11,-11,-21,19,-16,11
0,10,-9,-19,20,-15,10
0,10,-10,-19,21,-16,10
-1,10,-10,-20,20,-15,10
-1,11,-9,-19,19,-14,11
0,10,-10,-19,20,-15,10
-1,9,-10,-21,19,-14,9
1,9,-11,-20,21,-15,9
1,10,-9,-21,21,-15,10
0,10,-11,-20,20,-16,10
-1,11,-11,-20,20,-14,11
1,9,-11,-21,19,-15,9
1,10,-11,-19,20,-14,10
-1,10,-10,-19,20,-16,10
1,10,-10,-21,20,-14,10
-1,9,-11,-20,20,-16,9
0,9,-11,-21,20,-16,9
-1,11,-9,-21,20,-14,11
1,11,-9,-19,19,-16,11
0,9,-10,-19,19,-14,9
0,9,-9,-20,19,-16,9
-1,11,-10,-19,20,-16,11
-1,9,-11,-20,20,-15,9
-1,11,-9,-20,19,-15,11
-1,11,-11,-21,19,-14,11
-1,10,-10,-19,21,-16,10
-1,10,-9,-20,19,-16,10
1,9,-9,-20,19,-15,9
-1,11,-10,-21,20,-16,11
1,9,-11,-21,20,-14,9
1,9,-10,-19,20,-16,9
-1,9,-9,-20,20,-15,9
-1,10,-10,-19,19,-15,10
1,9,-11,-19,21,-14,9
-1,10,-10,-21,19,-16,10
1,11,-9,-19,20,-16,11
-1,10,-11,-19,21,-16,10
0,10,-9,-21,21,-16,10
-1,9,-9,-21,21,-14,9
0,11,-10,-20,20,-16,11
1,11,-9,-20,19,-14,11
-1,10,-9,-20,21,-16,10
1,10,-9,-19,19,-16,10
1,9,-10,-20,21,-16,9
0,11,-11,-20,21,-14,11
-1,10,-10,-19,20,-16,10
0,11,-11,-19,19,-14,11
0,10,-10,-20,21,-14,10
-1,11,-9,-20,20,-16,11
0,9,-10,-21,19,-14,9
1,11,-10,-21,20,-14,11
1,9,-11,-19,19,-14,9
0,10,-9,-20,21,-15,10
-1,11,-10,-19,20,-16,11
0,11,-9,-19,21,-16,11
0,9,-10,-20,21,-16,9
-1,10,-11,-20,20,-16,10
1,11,-11,-20,21,-16,11
1,11,-11,-20,20,-14,11
-1,11,-10,-20,20,-14,11
-1,11,-10,-21,21,-16,11
0,11,-11,-21,20,-15,11
-1,10,-9,-20,19,-15,10
1,11,-11,-20,19,-14,11
0,10,-10,-19,19,-15,10
-1,9,-10,-20,19,-14,9
-1,10,-11,-21,19,-16,10
-1,11,-9,-21,20,-15,11
-1,10,-10,-19,21,-14,10
1,10,-9,-19,19,-16,10
-1,9,-9,-21,19,-16,9
-1,10,-10,-21,21,-15,10
1,10,-10,-20,20,-14,10
0,11,-11,-21,19,-14,11
0,11,-9,-19,21,-15,11
-1,9,-10,-20,20,-16,9
1,9,-10,-21,21,-15,9
0,11,-11,-19,19,-14,11
1,9,-10,-19,20,-16,9
0,9,-9,-20,21,-16,9
1,10,-11,-21,19,-15,10
0,11,-11,-20,20,-14,11
0,11,-9,-21,20,-14,11
1,11,-9,-21,21,-15,11
1,9,-9,-20,21,-14,9
-1,9,-11,-19,21,-14,9
1,9,-10,-21,19,-15,9
0,9,-11,-19,19,-14,9
1,11,-11,-19,20,-14,11
1,9,-10,-21,20,-16,9
0,11,-11,-21,21,-15,11
-1,9,-9,-21,19,-14,9
0,10,-10,-19,20,-14,10
1,9,-9,-21,21,-14,9
1,9,-9,-21,19,-16,9
-1,10,-10,-21,19,-15,10
1,11,-9,-21,21,-15,11
0,9,-10,-20,20,-15,9
-1,11,-11,-19,21,-16,11
1,11,-9,-20,21,-15,11
1,11,-11,-21,19,-16,11
0,10,-9,-19,20,-16,10
0,10,-10,-19,21,-15,10
-1,10,-10,-20,20,-16,10
-1,11,-9,-19,19,-15,11
0,10,-10,-19,20,-14,10
-1,9,-10,-21,19,-15,9
1,9,-11,-20,21,-14,9
1,10,-9,-21,21,-15,10
0,10,-11,-20,20,-15,10
-1,11,-11,-20,20,-16,11
1,9,-11,-21,19,-14,9
1,10,-11,-19,20,-15,10
-1,10,-10,-19,20,-14,10
1,10,-10,-21,20,-16,10
